wage,wagek,ethnicity,educ,mother_education,father_education,walk,exercise,smokenow,tense,angry,age,gender
50000,50,White,16,16,16,3,3,2,0,0,45,Male
60000,60,White,16,16,16,6,5,1,0,0,58,Female
30000,30,White,16,16,16,8,1,2,1,1,29,Female
25000,25,White,17,17,NA,8,1,2,0,0,57,Female
50000,50,Other,16,16,16,5,6,2,0,0,91,Female
62000,62,Black,18,18,18,1,1,2,2,2,54,Female
51000,51,White,17,17,17,3,1,2,4,4,39,Female
9000,9,White,15,15,15,7,4,1,4,4,26,Female
29000,29,White,12,12,12,2,2,2,0,0,49,Female
32000,32,White,17,17,17,7,1,1,0,0,46,Male
2000,2,Hispanic,15,15,15,8,1,2,0,0,21,Male
35000,35,White,NA,99,99,1,1,2,0,0,53,Male
27000,27,White,12,12,12,1,2,2,1,1,26,Male
6530,6.53,White,16,16,NA,4,1,2,0,0,65,Male
0,0,White,14,14,14,7,4,2,2,2,50,Female
30000,30,White,11,NA,NA,7,4,2,0,0,34,Male
12000,12,White,12,12,12,6,5,2,2,2,27,Male
15000,15,White,18,18,18,4,6,2,0,0,51,Male
12000,12,White,12,12,12,5,1,2,1,1,51,Female
20000,20,White,11,11,11,8,1,1,0,0,45,Female
0,0,White,12,12,12,4,2,1,7,7,27,Female
25000,25,White,12,12,12,1,4,1,0,0,41,Female
22000,22,White,16,16,16,5,1,2,1,1,35,Female
25000,25,White,16,16,16,5,4,2,1,1,29,Female
20000,20,White,14,14,14,7,4,2,0,0,22,Male
17000,17,White,12,12,12,8,1,2,0,0,58,Male
40000,40,White,14,14,14,8,7,2,1,1,29,Female
44000,44,White,13,13,13,8,2,2,4,4,44,Male
0,0,White,9,9,9,1,1,1,0,0,21,Female
7000,7,Black,12,12,12,8,1,2,4,4,55,Female
53000,53,Black,13,13,13,6,7,2,2,2,35,Male
5000,5,Black,12,NA,NA,3,1,1,7,7,23,Female
5000,5,White,13,13,13,2,1,1,0,0,51,Female
14000,14,White,14,14,14,5,3,2,0,0,21,Female
45000,45,White,14,14,14,8,7,2,1,1,36,Male
5500,5.5,White,14,14,14,6,7,2,0,0,22,Male
40000,40,White,12,12,12,4,4,2,0,0,41,Female
34000,34,White,12,12,NA,2,1,2,0,0,45,Male
5000,5,Black,12,12,12,4,1,1,7,7,23,Female
10000,10,Black,12,12,12,8,3,2,3,3,35,Female
0,0,White,11,11,NA,2,7,1,1,1,21,Male
27000,27,White,16,16,16,2,1,1,0,0,60,Female
62000,62,White,14,14,NA,8,1,2,2,2,44,Male
15000,15,White,12,12,12,1,1,2,0,0,69,Female
0,0,White,12,12,12,8,1,2,0,0,44,Female
50000,50,White,16,16,16,5,6,2,1,1,38,Male
0,0,White,12,NA,NA,3,1,2,0,0,55,Female
41000,41,White,16,16,16,7,7,2,0,0,33,Male
0,0,White,10,10,10,8,1,2,0,0,19,Female
15000,15,White,14,14,14,4,1,2,3,3,25,Female
25000,25,White,12,12,12,1,5,2,7,7,33,Female
25000,25,White,16,16,16,5,1,2,1,1,72,Female
75000,75,White,17,17,17,8,5,2,4,4,39,Male
27000,27,White,17,17,17,5,2,2,0,0,31,Male
12000,12,White,12,12,12,8,1,2,7,7,26,Female
40000,40,White,12,12,12,7,3,2,0,0,51,Male
7500,7.5,White,14,14,14,8,1,1,0,0,78,Female
25000,25,White,12,12,12,7,2,1,0,0,46,Female
30000,30,Black,14,14,14,8,6,2,7,7,31,Female
21000,21,White,12,12,12,8,1,1,0,0,57,Female
27000,27,White,14,14,14,5,1,2,0,0,26,Female
45000,45,White,16,16,16,7,2,1,0,0,44,Male
3000,3,White,15,15,15,1,1,2,1,1,65,Female
25000,25,White,12,12,12,8,7,2,2,2,30,Female
24000,24,White,12,12,12,1,7,2,1,1,41,Female
32000,32,White,18,18,18,4,5,1,1,1,29,Female
10000,10,White,17,17,17,7,2,2,1,1,30,Female
0,0,White,12,12,12,5,1,2,0,0,57,Female
11000,11,Hispanic,12,12,12,2,1,2,0,0,21,Female
18700,18.7,White,13,13,13,5,6,2,0,0,32,Female
20000,20,White,12,12,12,2,1,1,7,7,29,Female
3500,3.5,White,10,10,10,4,7,2,0,0,18,Male
13000,13,Black,8,8,8,8,1,2,5,5,56,Male
25000,25,White,12,12,12,1,1,2,0,0,65,Male
21000,21,White,17,17,17,5,5,2,0,0,41,Male
34000,34,White,17,17,17,5,5,2,2,2,49,Female
5000,5,Black,12,12,12,7,4,2,1,1,23,Female
6000,6,White,12,12,12,1,1,1,0,0,65,Female
17000,17,White,12,12,12,8,7,1,1,1,28,Male
35000,35,White,12,NA,NA,1,2,1,0,0,32,Male
4000,4,White,13,13,13,6,6,2,0,0,18,Male
5000,5,White,16,16,16,8,6,2,1,1,22,Female
14000,14,White,14,14,14,4,1,2,0,0,55,Female
10000,10,White,12,12,12,8,1,2,0,0,57,Female
25000,25,White,16,16,16,2,6,2,4,4,29,Male
0,0,White,8,NA,8,1,1,1,0,0,63,Female
87000,87,White,18,18,18,1,1,2,0,0,60,Male
16000,16,White,14,14,14,4,6,2,0,0,27,Female
0,0,Black,13,13,13,8,3,2,1,1,30,Female
15000,15,White,12,12,12,5,2,2,2,2,33,Female
0,0,White,12,NA,NA,4,1,2,3,3,26,Female
16000,16,Hispanic,14,14,NA,1,1,2,0,0,28,Male
25000,25,White,18,18,18,8,2,2,0,0,67,Female
16500,16.5,White,14,14,14,8,7,2,5,5,43,Female
15000,15,White,12,12,12,3,7,1,0,0,73,Male
4000,4,White,9,9,NA,2,1,2,0,0,68,Female
3840,3.84,White,9,9,NA,5,1,2,0,0,52,Female
5000,5,White,6,NA,NA,1,1,2,0,0,78,Female
22000,22,White,12,12,12,1,6,2,0,0,39,Male
200,0.2,White,16,16,16,8,1,2,3,3,53,Female
26000,26,White,16,16,16,2,5,2,3,3,27,Female
2500,2.5,White,15,15,15,1,1,2,2,2,21,Female
17000,17,White,14,14,14,1,1,2,0,0,39,Female
25000,25,White,16,16,16,4,5,2,0,0,35,Female
8000,8,White,13,13,13,8,7,2,1,1,22,Female
25000,25,White,12,NA,12,1,3,2,0,0,31,Male
0,0,White,13,13,13,7,1,2,0,0,63,Female
12000,12,White,13,13,13,4,1,1,0,0,68,Female
10000,10,White,12,12,12,8,6,1,0,0,47,Female
5000,5,White,8,8,8,7,1,2,0,0,77,Female
100000,100,White,16,16,16,3,6,2,0,0,51,Male
10000,10,White,15,15,15,8,1,1,2,2,67,Female
0,0,White,14,14,14,4,1,1,0,0,38,Female
15000,15,White,12,12,12,8,2,2,0,0,39,Male
45000,45,Other,12,12,12,8,6,2,0,0,43,Female
15000,15,Black,11,NA,NA,4,4,2,0,0,73,Male
2400,2.4,Hispanic,8,8,8,8,4,1,1,1,39,Female
30000,30,Hispanic,12,12,12,4,6,2,2,2,32,Male
30000,30,White,12,12,12,5,6,2,1,1,33,Male
10000,10,White,12,12,12,6,4,2,5,5,38,Female
5000,5,White,13,13,13,7,2,1,0,0,26,Female
12000,12,White,13,13,13,1,1,2,5,5,63,Female
20000,20,White,10,10,10,2,1,2,0,0,61,Female
20000,20,White,12,12,12,3,1,2,1,1,36,Female
20000,20,White,14,14,14,8,7,2,0,0,23,Male
25000,25,White,18,18,18,8,7,2,1,1,57,Female
5000,5,White,8,NA,NA,1,4,2,0,0,82,Female
0,0,White,12,12,12,3,1,2,4,4,59,Female
25000,25,White,18,18,18,8,1,2,0,0,76,Male
1200,1.2,White,12,12,12,7,7,2,2,2,20,Female
5000,5,White,12,12,NA,6,4,2,0,0,69,Female
700,0.7,White,16,16,16,4,5,2,0,0,32,Female
20000,20,White,16,16,16,1,4,1,0,0,27,Male
10000,10,Hispanic,12,12,12,8,6,1,0,0,22,Female
30000,30,White,12,12,12,7,7,2,0,0,73,Female
25000,25,Hispanic,8,NA,NA,8,1,2,0,0,63,Male
40000,40,White,14,14,NA,8,7,2,0,0,56,Female
25000,25,White,12,NA,NA,8,7,2,0,0,89,Male
45000,45,White,18,18,18,5,2,2,0,0,65,Female
10000,10,White,17,17,17,7,1,2,0,0,79,Female
60000,60,White,18,18,18,8,1,2,0,0,63,Female
45000,45,White,12,12,12,8,1,2,0,0,56,Female
0,0,White,12,NA,NA,4,7,2,3,3,21,Female
18000,18,White,12,12,12,7,1,1,0,0,66,Female
15000,15,White,12,NA,NA,4,5,2,5,5,74,Female
50000,50,White,18,18,18,8,3,2,1,1,42,Male
16040,16.04,White,12,NA,NA,8,1,2,3,3,33,Female
15000,15,Black,14,14,14,8,1,1,7,7,30,Female
10000,10,White,17,17,NA,1,7,2,2,2,23,Male
33000,33,White,13,13,13,2,1,2,0,0,43,Female
18000,18,White,12,12,12,7,7,2,0,0,30,Female
15000,15,White,12,12,12,7,1,2,7,7,37,Female
21000,21,White,12,NA,12,4,7,2,0,0,22,Male
21000,21,Black,17,17,17,3,1,2,0,0,43,Female
37000,37,White,11,11,11,4,4,2,2,2,37,Male
38000,38,White,17,17,17,7,6,2,2,2,44,Female
17000,17,Hispanic,14,14,14,4,4,1,0,0,43,Female
0,0,White,12,12,12,4,3,1,2,2,29,Female
0,0,Other,16,16,16,8,2,2,0,0,32,Female
15000,15,White,16,16,16,1,1,2,1,1,91,Female
32000,32,White,16,16,16,1,7,2,1,1,30,Male
27500,27.5,White,12,12,12,4,1,2,0,0,58,Female
15000,15,White,12,NA,NA,8,1,1,0,0,76,Male
16500,16.5,White,12,12,12,8,1,1,3,3,44,Female
0,0,White,17,17,17,8,6,2,5,5,30,Female
0,0,White,12,12,12,7,1,2,2,2,51,Female
25000,25,White,18,18,18,7,5,2,1,1,35,Female
27000,27,White,18,18,18,4,7,2,2,2,43,Female
5000,5,White,12,NA,12,5,1,1,7,7,28,Female
70000,70,White,16,16,16,8,1,2,0,0,38,Female
5000,5,White,12,12,12,4,5,2,2,2,40,Female
5000,5,White,16,16,16,1,4,2,1,1,24,Male
62000,62,Other,18,18,18,4,1,2,1,1,30,Male
15000,15,Black,12,12,12,8,1,1,0,0,59,Female
20000,20,White,15,15,15,8,4,1,0,0,26,Female
4000,4,White,15,15,15,4,5,1,2,2,21,Male
75000,75,White,12,12,12,7,6,2,0,0,39,Male
60000,60,White,16,16,16,5,1,2,2,2,35,Female
5000,5,White,13,13,13,8,1,2,7,7,31,Female
30000,30,White,12,12,12,7,4,1,3,3,38,Male
70000,70,White,14,14,14,5,4,1,2,2,35,Male
5000,5,White,16,16,16,8,1,2,0,0,60,Female
50000,50,White,16,16,16,8,4,1,0,0,41,Male
44000,44,White,12,12,12,8,6,1,0,0,39,Female
40000,40,White,18,18,18,4,4,1,0,0,40,Male
30000,30,White,14,14,14,4,7,2,2,2,43,Female
15000,15,Black,14,14,NA,8,7,2,2,2,24,Male
35000,35,White,15,15,15,6,1,2,0,0,31,Female
0,0,White,16,16,16,5,1,2,6,6,32,Female
10000,10,White,16,16,16,3,1,2,7,7,40,Female
23000,23,White,17,17,17,6,3,2,5,5,42,Female
0,0,White,12,12,12,1,1,2,7,7,39,Female
45000,45,White,17,17,17,6,1,2,0,0,62,Male
15000,15,White,14,14,14,8,6,1,0,0,31,Male
4000,4,White,14,14,14,8,1,2,0,0,71,Female
17000,17,White,14,14,14,1,6,2,0,0,31,Male
30000,30,White,12,12,12,6,4,2,3,3,32,Female
27500,27.5,White,12,12,12,3,3,1,1,1,30,Female
5688,5.688,White,8,8,NA,6,1,2,3,3,69,Female
18000,18,Hispanic,13,13,13,6,1,2,0,0,56,Female
35000,35,White,14,14,14,6,7,2,3,3,36,Male
45000,45,White,17,17,17,8,1,2,0,0,32,Female
43000,43,Black,13,13,13,7,1,2,7,7,44,Male
32000,32,Black,14,14,14,6,2,2,1,1,44,Female
25000,25,Black,12,12,NA,7,7,2,0,0,20,Female
0,0,Black,5,5,NA,6,1,2,1,1,51,Female
10000,10,Black,18,18,18,3,2,2,4,4,56,Female
50000,50,Hispanic,12,12,12,8,1,2,1,1,38,Female
15000,15,White,12,12,12,2,5,1,3,3,20,Male
60000,60,White,13,13,13,8,3,1,0,0,45,Male
30000,30,White,15,15,15,1,1,2,0,0,23,Male
21000,21,Other,12,12,12,8,4,2,5,5,50,Female
2400,2.4,White,16,16,16,3,4,2,7,7,22,Female
5000,5,White,10,10,10,8,7,1,0,0,50,Female
35000,35,Black,15,15,15,2,1,2,2,2,42,Female
1000,1,White,15,15,15,5,7,2,0,0,28,Female
27000,27,White,12,12,12,8,1,1,3,3,27,Male
6600,6.6,Hispanic,14,14,14,8,6,1,2,2,28,Female
16000,16,White,8,8,8,4,1,2,2,2,43,Male
90000,90,White,12,12,12,8,7,2,6,6,26,Male
8000,8,White,12,12,NA,5,2,1,0,0,42,Female
20000,20,White,10,NA,NA,1,1,2,0,0,32,Male
15000,15,White,12,12,12,6,7,1,5,5,18,Female
12000,12,White,12,12,12,8,1,2,0,0,60,Female
25000,25,White,9,9,NA,8,2,2,2,2,67,Female
24000,24,White,16,16,16,7,3,2,0,0,46,Female
20000,20,White,14,14,14,8,3,2,0,0,39,Female
19000,19,White,12,12,12,8,1,2,0,0,46,Female
25000,25,White,8,NA,8,3,1,1,0,0,53,Male
10000,10,White,12,12,12,8,1,2,0,0,49,Male
40000,40,White,16,16,16,8,1,1,1,1,34,Female
62000,62,Black,8,NA,NA,1,1,2,0,0,35,Male
25000,25,Black,13,13,13,7,6,2,3,3,38,Female
0,0,White,10,10,NA,8,1,1,6,6,57,Female
0,0,Hispanic,10,10,NA,8,1,2,0,0,48,Female
10000,10,White,8,NA,NA,2,1,2,0,0,88,Female
25000,25,White,14,14,14,8,1,2,0,0,64,Male
25000,25,White,12,12,NA,4,6,2,0,0,24,Male
25000,25,White,14,14,14,4,5,1,0,0,32,Male
19000,19,White,16,16,16,8,4,2,4,4,61,Male
44000,44,White,16,16,16,4,4,2,2,2,48,Male
0,0,White,12,12,12,8,6,2,0,0,19,Female
0,0,White,18,18,18,8,1,1,0,0,55,Female
15000,15,White,14,14,14,8,2,1,0,0,49,Female
17000,17,White,12,12,NA,5,1,2,5,5,36,Female
24000,24,White,12,12,12,1,1,2,0,0,56,Male
50000,50,White,16,16,16,8,6,2,0,0,38,Male
23000,23,White,12,12,12,8,1,2,7,7,37,Female
13000,13,White,12,12,12,8,7,2,0,0,74,Male
20000,20,Black,NA,NA,NA,8,1,2,0,0,72,Female
45000,45,White,12,12,12,4,7,1,7,7,49,Female
65000,65,White,16,16,16,1,6,2,1,1,46,Male
7000,7,White,12,12,NA,4,1,2,3,3,63,Female
40000,40,White,18,18,18,8,2,2,0,0,63,Male
15000,15,White,17,17,17,7,1,2,3,3,43,Female
20000,20,White,16,16,16,5,5,2,0,0,25,Male
25000,25,White,6,NA,NA,1,1,1,0,0,77,Male
20000,20,White,12,12,12,8,2,2,7,7,50,Male
5000,5,White,9,NA,9,2,1,2,0,0,67,Male
20000,20,White,12,12,12,8,1,2,0,0,42,Female
25000,25,White,12,12,12,3,1,2,0,0,49,Female
15000,15,White,14,14,14,8,6,2,0,0,20,Female
49000,49,White,13,13,13,7,7,1,0,0,37,Male
25000,25,White,8,8,8,8,7,1,0,0,24,Male
0,0,White,12,NA,12,3,1,2,3,3,36,Female
0,0,White,16,16,16,6,4,2,7,7,35,Female
25000,25,White,12,12,12,5,1,2,0,0,65,Female
30000,30,White,12,12,12,5,1,2,0,0,67,Female
25000,25,White,12,12,12,8,1,2,1,1,62,Female
35000,35,White,16,16,16,8,1,2,0,0,72,Female
11000,11,White,14,14,14,7,1,2,0,0,57,Female
16000,16,White,15,15,15,3,7,2,1,1,38,Female
35000,35,White,14,14,14,1,7,2,2,2,43,Male
125000,125,White,18,18,18,4,1,2,7,7,45,Male
23000,23,White,12,12,12,3,1,1,2,2,47,Female
17000,17,White,16,16,16,1,1,2,1,1,28,Female
0,0,White,13,13,13,2,2,1,7,7,31,Female
27000,27,White,12,12,12,2,1,2,3,3,41,Female
70000,70,White,14,14,14,8,7,2,0,0,32,Male
35000,35,White,15,15,15,8,1,2,0,0,47,Female
10000,10,White,12,12,12,1,1,1,3,3,62,Female
15000,15,White,13,NA,13,8,4,1,4,4,30,Female
35000,35,White,15,15,15,6,6,2,0,0,39,Female
15000,15,White,12,12,12,8,5,2,1,1,38,Female
12000,12,White,12,12,12,7,6,2,0,0,39,Female
8000,8,White,12,NA,NA,1,1,1,0,0,68,Male
8000,8,White,12,12,12,7,1,1,0,0,50,Female
35000,35,White,18,18,18,5,2,2,0,0,50,Male
45000,45,White,11,NA,NA,8,1,1,0,0,51,Male
0,0,White,12,12,12,8,7,2,0,0,58,Female
5000,5,White,12,12,12,7,7,2,4,4,27,Female
15000,15,White,14,14,14,4,2,2,0,0,22,Female
15000,15,White,12,12,12,6,1,2,3,3,77,Female
24000,24,White,18,18,18,7,2,2,3,3,51,Female
25000,25,White,13,13,13,5,1,1,5,5,32,Female
25000,25,Black,14,14,14,4,2,2,0,0,54,Female
20000,20,Other,10,10,NA,1,1,1,0,0,28,Male
24000,24,White,12,12,12,8,4,2,0,0,24,Female
44000,44,White,16,16,16,8,4,2,1,1,46,Male
69000,69,White,12,12,12,7,1,1,0,0,38,Male
62000,62,White,18,18,18,8,4,2,0,0,44,Male
25000,25,Black,15,15,15,2,1,2,1,1,65,Female
32000,32,Black,14,14,14,6,6,2,0,0,32,Male
20000,20,Black,12,12,12,8,1,1,0,0,33,Female
32000,32,Other,18,18,18,5,2,2,0,0,35,Female
25000,25,White,17,17,17,8,5,2,1,1,50,Female
170000,170,White,18,18,18,5,4,2,0,0,45,Male
0,0,Black,11,11,11,8,5,2,2,2,29,Female
35000,35,White,16,16,16,1,7,2,0,0,33,Male
40000,40,Black,16,16,16,5,6,2,1,1,38,Male
33000,33,White,14,14,14,5,7,2,3,3,30,Male
18000,18,White,12,12,12,2,3,2,0,0,22,Female
30000,30,White,13,13,13,2,1,1,1,1,43,Female
26000,26,White,12,12,12,2,1,1,7,7,31,Female
5000,5,White,12,12,12,2,2,1,4,4,21,Female
5000,5,White,12,12,12,2,1,1,7,7,18,Female
20000,20,White,16,16,16,8,1,2,0,0,73,Female
17000,17,White,12,12,12,5,6,1,0,0,30,Female
32000,32,White,14,14,14,2,1,1,2,2,28,Female
15000,15,White,14,14,14,7,6,2,0,0,22,Male
0,0,White,17,17,17,8,6,2,3,3,41,Female
50000,50,White,14,14,14,8,1,2,0,0,55,Male
8000,8,White,12,NA,NA,3,2,2,2,2,39,Female
40000,40,White,14,14,14,8,3,2,0,0,51,Male
40000,40,White,15,15,15,8,6,2,3,3,41,Male
32750,32.75,White,12,12,NA,7,5,1,0,0,34,Male
5000,5,White,12,12,12,8,3,1,5,5,20,Male
20000,20,White,14,14,14,3,1,2,0,0,69,Female
36000,36,Black,15,15,15,8,7,2,0,0,39,Female
6000,6,White,12,NA,NA,3,7,2,0,0,64,Female
12000,12,Hispanic,14,14,14,7,7,2,2,2,34,Female
60000,60,White,14,14,14,8,7,2,0,0,63,Male
40000,40,White,13,13,13,8,2,1,0,0,44,Female
5000,5,Hispanic,13,13,13,5,7,2,0,0,19,Male
43000,43,White,12,12,12,5,6,2,0,0,38,Female
45000,45,White,16,16,16,8,1,2,3,3,34,Female
6000,6,White,18,18,18,3,1,2,5,5,39,Female
8000,8,Other,10,NA,10,7,1,2,0,0,82,Female
20000,20,Black,13,13,13,8,1,2,5,5,39,Female
17000,17,Black,12,12,12,8,6,2,0,0,23,Male
2000,2,White,12,NA,NA,6,1,1,7,7,32,Female
65000,65,White,12,12,12,8,3,2,0,0,28,Male
50000,50,White,12,12,12,4,4,2,1,1,41,Male
0,0,White,11,11,11,6,5,1,1,1,54,Female
0,0,White,11,11,11,5,3,2,0,0,29,Female
15000,15,White,13,NA,NA,1,1,2,0,0,21,Male
11000,11,White,12,12,12,8,1,2,1,1,38,Female
35000,35,White,18,18,18,5,7,2,0,0,30,Male
27000,27,White,12,12,12,1,2,2,1,1,33,Male
3500,3.5,White,12,12,12,8,1,2,0,0,61,Female
15000,15,White,7,7,7,1,1,1,0,0,77,Female
42000,42,White,12,12,12,8,4,1,2,2,37,Male
15000,15,White,12,12,NA,5,1,2,0,0,61,Female
20000,20,White,18,18,18,3,3,2,0,0,29,Female
15000,15,White,12,12,12,8,1,1,3,3,29,Female
10000,10,White,12,12,12,2,7,2,1,1,21,Male
0,0,White,12,NA,NA,1,1,1,2,2,48,Female
6000,6,White,8,8,8,8,7,2,0,0,78,Male
25000,25,White,12,NA,NA,5,1,2,2,2,80,Male
17000,17,Hispanic,16,NA,NA,8,1,2,3,3,23,Female
35000,35,Hispanic,16,16,16,8,1,2,0,0,65,Male
28000,28,White,14,14,14,8,7,2,0,0,28,Male
15000,15,White,12,NA,NA,6,3,1,1,1,33,Female
20000,20,White,17,17,17,6,1,1,0,0,24,Female
20000,20,White,12,12,12,4,1,2,3,3,29,Female
10500,10.5,Hispanic,12,12,NA,7,4,2,1,1,42,Male
13000,13,White,16,16,16,7,7,2,2,2,22,Male
10000,10,White,12,12,12,1,4,2,7,7,52,Female
3000,3,White,12,12,NA,8,3,2,5,5,37,Female
24000,24,White,14,14,14,1,4,1,7,7,29,Female
0,0,White,17,17,17,1,1,2,4,4,41,Female
17000,17,White,13,13,13,1,1,1,7,7,35,Female
11000,11,White,12,12,NA,1,1,1,0,0,48,Female
0,0,White,14,14,14,6,1,2,7,7,37,Female
32000,32,White,14,14,14,1,4,1,4,4,40,Female
17000,17,White,15,15,15,2,1,2,5,5,26,Female
15000,15,White,16,16,16,5,6,2,0,0,47,Female
25000,25,White,12,12,12,4,1,2,0,0,75,Female
136500,136.5,White,12,12,12,4,4,2,0,0,49,Male
3000,3,Other,12,12,NA,7,7,2,7,7,35,Female
15000,15,White,8,NA,NA,8,6,2,0,0,60,Female
0,0,White,12,12,12,1,1,1,0,0,41,Female
25000,25,White,18,18,18,8,1,2,1,1,58,Male
5000,5,White,14,14,14,2,1,2,0,0,48,Male
2100,2.1,Black,12,12,12,6,1,1,6,6,21,Female
15000,15,Black,10,10,10,8,1,1,0,0,82,Male
15000,15,White,13,NA,13,8,1,2,0,0,76,Female
15000,15,Black,12,12,12,2,1,2,3,3,29,Female
15000,15,Hispanic,12,12,12,8,6,1,0,0,34,Male
15000,15,White,16,16,16,2,6,2,2,2,23,Male
5000,5,Black,12,12,12,7,5,1,0,0,27,Male
3192,3.192,Black,11,11,11,8,7,1,0,0,34,Male
15000,15,Other,12,12,12,6,1,2,0,0,25,Female
17000,17,White,17,17,17,5,5,2,1,1,26,Female
30000,30,White,13,13,13,7,7,2,7,7,28,Female
15000,15,White,12,12,12,1,1,2,0,0,32,Male
5000,5,White,16,16,16,7,6,2,0,0,26,Female
24000,24,White,16,16,16,6,4,2,1,1,42,Female
10000,10,White,14,14,14,8,1,2,0,0,67,Female
50000,50,White,8,8,8,2,7,1,0,0,53,Male
15000,15,White,11,NA,NA,1,1,2,0,0,77,Female
50000,50,White,16,16,16,3,2,2,0,0,53,Male
136500,136.5,White,12,12,12,8,2,1,0,0,38,Male
20000,20,White,17,17,17,4,2,2,0,0,49,Female
30000,30,Hispanic,18,18,18,7,2,2,0,0,54,Female
5000,5,White,18,18,18,2,1,2,2,2,41,Female
0,0,White,12,12,12,1,1,1,1,1,63,Female
0,0,White,10,10,10,6,1,2,0,0,48,Female
25000,25,White,12,12,12,1,1,2,0,0,37,Male
0,0,White,5,NA,5,7,1,2,0,0,58,Female
22000,22,White,14,14,14,5,1,2,0,0,45,Female
27000,27,White,12,12,12,1,7,2,0,0,24,Male
4000,4,White,12,12,12,4,2,2,1,1,38,Female
35000,35,White,16,16,16,8,4,2,0,0,41,Female
17500,17.5,White,17,17,17,4,1,2,0,0,26,Female
16500,16.5,White,14,14,14,7,6,2,3,3,28,Female
28000,28,White,16,16,16,3,1,2,5,5,39,Female
52000,52,White,18,18,18,2,5,2,0,0,50,Female
15000,15,White,16,16,16,2,6,2,0,0,29,Female
19000,19,White,13,13,13,8,7,2,2,2,32,Female
0,0,White,13,13,13,8,4,2,0,0,44,Female
5000,5,Black,12,12,NA,3,1,2,2,2,19,Female
15000,15,White,12,12,NA,5,1,2,1,1,34,Female
27000,27,White,12,12,12,6,6,1,2,2,23,Male
15000,15,White,8,8,8,1,7,1,6,6,58,Male
0,0,White,12,12,12,1,2,2,5,5,24,Female
15000,15,White,14,14,14,8,5,2,1,1,33,Male
14500,14.5,White,12,NA,NA,7,1,2,0,0,55,Female
24000,24,White,13,13,13,2,1,2,0,0,30,Female
5000,5,White,12,12,12,4,2,2,1,1,18,Female
18000,18,White,15,15,15,7,7,2,0,0,36,Male
4000,4,White,12,12,12,8,2,2,0,0,68,Female
15000,15,White,12,NA,NA,6,1,2,0,0,85,Female
4000,4,White,13,13,13,6,1,2,0,0,57,Female
20000,20,White,15,15,15,4,7,2,0,0,53,Female
700,0.7,White,12,12,12,8,1,2,7,7,36,Female
25000,25,White,15,15,NA,7,7,2,0,0,33,Female
24000,24,White,12,12,12,4,1,2,2,2,91,Female
15000,15,White,12,NA,NA,2,1,2,0,0,60,Female
27000,27,White,12,12,12,7,7,2,0,0,39,Male
12000,12,White,12,12,12,7,7,2,5,5,35,Female
22000,22,White,18,18,18,4,7,2,2,2,47,Female
30000,30,White,13,13,13,1,1,2,1,1,36,Female
45000,45,White,16,16,16,7,6,2,0,0,35,Male
35000,35,White,12,12,12,8,3,2,0,0,61,Male
20000,20,White,12,12,12,8,2,2,7,7,42,Male
32000,32,White,16,16,16,5,1,2,0,0,32,Female
6000,6,Other,12,12,12,4,1,1,2,2,31,Female
12000,12,White,12,12,12,3,1,1,0,0,39,Female
